,Unnamed: 0,Date,Country,Activity,Hemispheres,Months
0,0,25-Jun-2018,USA,Paddling,Hemisphere-N,jun
1,1,18-Jun-2018,USA,Standing,Hemisphere-N,jun
2,2,09-Jun-2018,USA,Surfing,Hemisphere-N,jun
3,3,08-Jun-2018,AUSTRALIA,Surfing,Hemisphere-S,jun
5,5,03-Jun-2018,AUSTRALIA,Kite surfing,Hemisphere-S,jun
7,7,27-May-2018,USA,Fishing,Hemisphere-N,may
8,8,26-May-2018,USA,Walking,Hemisphere-N,may
9,9,26-May-2018,USA,Standing,Hemisphere-N,may
10,10,24-May-2018,AUSTRALIA,Feeding sharks,Hemisphere-S,may
11,11,21-May-2018,USA,Boogie boarding,Hemisphere-N,may
12,12,13-May-2018,USA,Swimming,Hemisphere-N,may
14,14,May 2018,AUSTRALIA,Feeding sharks,Hemisphere-S,may
15,15,12-May-2018,SOUTH AFRICA,Surfing,Hemisphere-S,may
16,16,09-May-2018,AUSTRALIA,Surfing,Hemisphere-S,may
19,19,28-Apr-2018,AUSTRALIA,Surfing,Hemisphere-S,apr
20,20,25-Apr-2018,AUSTRALIA,Surfing,Hemisphere-S,apr
21,21,25-Apr-2018,AUSTRALIA,Surfing,Hemisphere-S,apr
22,22,24-Apr-2018,AUSTRALIA,Surfing,Hemisphere-S,apr
24,24,22-Apr-2018,SOUTH AFRICA,Paddle-skiing,Hemisphere-S,apr
25,25,19-Apr-2018,USA,Body boarding,Hemisphere-N,apr
28,28,15-Apr-2018,AUSTRALIA,Surfing,Hemisphere-S,apr
29,29,15-Apr-2018,AUSTRALIA,Surfing,Hemisphere-S,apr
34,34,03-Apr-2018,SOUTH AFRICA,Surfing,Hemisphere-S,apr
35,35,31-Mar-2018,USA,Stand-Up Paddleboarding,Hemisphere-N,mar
36,36,14-Mar-2018,AUSTRALIA,Wading,Hemisphere-S,mar
37,37,9-Mar-2018,AUSTRALIA,Swimming,Hemisphere-S,mar
38,38,9-Mar-2018,AUSTRALIA,Surfing,Hemisphere-S,mar
39,39,24-Feb-2018,SOUTH AFRICA,Scuba Diving,Hemisphere-S,feb
40,40,23-Feb-2018,AUSTRALIA,Swimming,Hemisphere-S,feb
41,41,18-Feb-2018,AUSTRALIA,Kayak fishing for sharks,Hemisphere-S,feb
42,42,15-Feb-2018,AUSTRALIA,Walking,Hemisphere-S,feb
43,43,14-Feb-2018,AUSTRALIA,Swimming,Hemisphere-S,feb
46,46,01-Feb-2018,AUSTRALIA,Spearfishing,Hemisphere-S,feb
47,47,28-Jan-2018,AUSTRALIA,,Hemisphere-S,jan
49,49,14-Jan-2018,AUSTRALIA,Diving,Hemisphere-S,jan
50,50,13-Jan-2018,AUSTRALIA,Free diving,Hemisphere-S,jan
52,52,05-Jan-2018,AUSTRALIA,Surfing,Hemisphere-S,jan
53,53,31-Dec-2017,USA,Surfing,Hemisphere-N,dec
54,54,30-Dec-2017,USA,Surfing,Hemisphere-N,dec
60,60,24-Nov-2017,USA,Spearfishing,Hemisphere-N,nov
61,61,18-Nov-2017,USA,Surfing,Hemisphere-N,nov
63,63,13-Nov-2017,AUSTRALIA,Surfing,Hemisphere-S,nov
66,66,28-Oct-2017,AUSTRALIA,Surfing,Hemisphere-S,oct
67,67,26-Oct-2017,USA,Stand-Up Paddleboarding,Hemisphere-N,oct
69,69,23-Oct-2017,USA,Surfing ,Hemisphere-N,oct
70,70,23-Oct-2017,USA,Swimming,Hemisphere-N,oct
71,71,22-Oct-2017,AUSTRALIA,Kayaking / Fishing,Hemisphere-S,oct
72,72,21-Oct-2017,NEW ZEALAND,Kayaking,Hemisphere-S,oct
73,73,18-Oct-2017,USA,Swimming,Hemisphere-N,oct
74,74,09-Oct-2017,USA,Surfing,Hemisphere-N,oct
75,75,05-Oct-2017,USA,Snorkeling,Hemisphere-N,oct
76,76,01-Oct-2017,SOUTH AFRICA,Scuba Diving,Hemisphere-S,oct
77,77,25-Sep-2017,USA,Surfing,Hemisphere-N,sep
78,78,25-Sep-2017,AUSTRALIA,Surfing,Hemisphere-S,sep
79,79,24-Sep-2017,USA,Surfing,Hemisphere-N,sep
80,80,24-Sep-2017,USA,Surfing,Hemisphere-N,sep
81,81,20-Sep-2017,USA,Surfing,Hemisphere-N,sep
83,83,16-Sep-2017,USA,Surfing,Hemisphere-N,sep
84,84,15-Sep-2017,SOUTH AFRICA,Scuba Diving,Hemisphere-S,sep
86,86,Sep-2017,AUSTRALIA,Fishing,Hemisphere-S,sep
87,87,13-Sep-2017,USA,Surfing,Hemisphere-N,sep
88,88,10-Sep-2017,AUSTRALIA,Swimming,Hemisphere-S,sep
89,89,10-Sep-2017,AUSTRALIA,Surfing,Hemisphere-S,sep
91,91,03-Sep-2017,SOUTH AFRICA,"Swimming, poaching abalone",Hemisphere-S,sep
93,93,02-Sep-2017,USA,Swimming,Hemisphere-N,sep
94,94,02-Sep-2017,USA,Swimming,Hemisphere-N,sep
95,95,02-Sep-2017,USA,Surfing,Hemisphere-N,sep
96,96,29-Aug-2017,AUSTRALIA,Surfing,Hemisphere-S,aug
97,97,27-Aug-2017,USA,Wading,Hemisphere-N,aug
99,99,26-Aug-2017,NEW ZEALAND,Canoeing,Hemisphere-S,aug
100,100,23-Aug-2017,USA,SUP,Hemisphere-N,aug
102,102,10-Aug-2017,USA,Swimming,Hemisphere-N,aug
