,Unnamed: 0,Date,Country,Activity,Hemispheres,Months,Activities
2,2,09-Jun-2018,USA,Surfing,Hemisphere-N,jun,surfing
3,3,08-Jun-2018,AUSTRALIA,Surfing,Hemisphere-S,jun,surfing
5,5,03-Jun-2018,AUSTRALIA,Kite surfing,Hemisphere-S,jun,surfing
7,7,27-May-2018,USA,Fishing,Hemisphere-N,may,fishing
12,12,13-May-2018,USA,Swimming,Hemisphere-N,may,swimming
15,15,12-May-2018,SOUTH AFRICA,Surfing,Hemisphere-S,may,surfing
16,16,09-May-2018,AUSTRALIA,Surfing,Hemisphere-S,may,surfing
19,19,28-Apr-2018,AUSTRALIA,Surfing,Hemisphere-S,apr,surfing
20,20,25-Apr-2018,AUSTRALIA,Surfing,Hemisphere-S,apr,surfing
21,21,25-Apr-2018,AUSTRALIA,Surfing,Hemisphere-S,apr,surfing
22,22,24-Apr-2018,AUSTRALIA,Surfing,Hemisphere-S,apr,surfing
28,28,15-Apr-2018,AUSTRALIA,Surfing,Hemisphere-S,apr,surfing
29,29,15-Apr-2018,AUSTRALIA,Surfing,Hemisphere-S,apr,surfing
34,34,03-Apr-2018,SOUTH AFRICA,Surfing,Hemisphere-S,apr,surfing
37,37,9-Mar-2018,AUSTRALIA,Swimming,Hemisphere-S,mar,swimming
38,38,9-Mar-2018,AUSTRALIA,Surfing,Hemisphere-S,mar,surfing
40,40,23-Feb-2018,AUSTRALIA,Swimming,Hemisphere-S,feb,swimming
41,41,18-Feb-2018,AUSTRALIA,Kayak fishing for sharks,Hemisphere-S,feb,fishing
43,43,14-Feb-2018,AUSTRALIA,Swimming,Hemisphere-S,feb,swimming
46,46,01-Feb-2018,AUSTRALIA,Spearfishing,Hemisphere-S,feb,spearfishing
52,52,05-Jan-2018,AUSTRALIA,Surfing,Hemisphere-S,jan,surfing
53,53,31-Dec-2017,USA,Surfing,Hemisphere-N,dec,surfing
54,54,30-Dec-2017,USA,Surfing,Hemisphere-N,dec,surfing
60,60,24-Nov-2017,USA,Spearfishing,Hemisphere-N,nov,spearfishing
61,61,18-Nov-2017,USA,Surfing,Hemisphere-N,nov,surfing
63,63,13-Nov-2017,AUSTRALIA,Surfing,Hemisphere-S,nov,surfing
66,66,28-Oct-2017,AUSTRALIA,Surfing,Hemisphere-S,oct,surfing
69,69,23-Oct-2017,USA,Surfing ,Hemisphere-N,oct,surfing
70,70,23-Oct-2017,USA,Swimming,Hemisphere-N,oct,swimming
71,71,22-Oct-2017,AUSTRALIA,Kayaking / Fishing,Hemisphere-S,oct,fishing
73,73,18-Oct-2017,USA,Swimming,Hemisphere-N,oct,swimming
74,74,09-Oct-2017,USA,Surfing,Hemisphere-N,oct,surfing
77,77,25-Sep-2017,USA,Surfing,Hemisphere-N,sep,surfing
78,78,25-Sep-2017,AUSTRALIA,Surfing,Hemisphere-S,sep,surfing
79,79,24-Sep-2017,USA,Surfing,Hemisphere-N,sep,surfing
80,80,24-Sep-2017,USA,Surfing,Hemisphere-N,sep,surfing
81,81,20-Sep-2017,USA,Surfing,Hemisphere-N,sep,surfing
83,83,16-Sep-2017,USA,Surfing,Hemisphere-N,sep,surfing
86,86,Sep-2017,AUSTRALIA,Fishing,Hemisphere-S,sep,fishing
87,87,13-Sep-2017,USA,Surfing,Hemisphere-N,sep,surfing
88,88,10-Sep-2017,AUSTRALIA,Swimming,Hemisphere-S,sep,swimming
89,89,10-Sep-2017,AUSTRALIA,Surfing,Hemisphere-S,sep,surfing
91,91,03-Sep-2017,SOUTH AFRICA,"Swimming, poaching abalone",Hemisphere-S,sep,swimming
93,93,02-Sep-2017,USA,Swimming,Hemisphere-N,sep,swimming
94,94,02-Sep-2017,USA,Swimming,Hemisphere-N,sep,swimming
95,95,02-Sep-2017,USA,Surfing,Hemisphere-N,sep,surfing
96,96,29-Aug-2017,AUSTRALIA,Surfing,Hemisphere-S,aug,surfing
102,102,10-Aug-2017,USA,Swimming,Hemisphere-N,aug,swimming
104,104,03-Aug-2017,USA,Fishing,Hemisphere-N,aug,fishing
105,105,01-Aug-2017,USA,Kayaking / Fishing,Hemisphere-N,aug,fishing
107,107,29-Jul-2017,USA,Swimming,Hemisphere-N,jul,swimming
115,115,20-Jul-2017,USA,Swimming,Hemisphere-N,jul,swimming
118,118,14-Jul-2017,USA,Surfing,Hemisphere-N,jul,surfing
119,119,14-Jul-2017,AUSTRALIA,Surfing,Hemisphere-S,jul,surfing
121,121,09-Jul-2017,USA,Swimming,Hemisphere-N,jul,swimming
123,123,07-Jul-2017,SOUTH AFRICA,Surfing,Hemisphere-S,jul,surfing
125,125,29-Jun-2017,USA,Fishing,Hemisphere-N,jun,fishing
126,126,21-Jun-2017,USA,Swimming,Hemisphere-N,jun,swimming
127,127,19-Jun-2017,USA,Surfing,Hemisphere-N,jun,surfing
128,128,18-Jun-2017,USA,Swimming,Hemisphere-N,jun,swimming
134,134,10-Jun-2017,AUSTRALIA,Surfing,Hemisphere-S,jun,surfing
135,135,10-Jun-2017,USA,Surfing,Hemisphere-N,jun,surfing
137,137,04-Jun-2017,USA,Spearfishing,Hemisphere-N,jun,spearfishing
141,141,27-May-2017,AUSTRALIA,Fishing ,Hemisphere-S,may,fishing
145,145,03-May-2017,USA,Surfing,Hemisphere-N,may,surfing
146,146,29-Apr-2017,USA,Swimming,Hemisphere-N,apr,swimming
147,147,29-Apr-2017,SOUTH AFRICA,Surfing,Hemisphere-S,apr,surfing
148,148,29-Apr-2017,USA,Surfing,Hemisphere-N,apr,surfing
153,153,20-Apr-2017,USA,Swimming,Hemisphere-N,apr,swimming
155,155,17-Apr-2017,AUSTRALIA,Surfing,Hemisphere-S,apr,surfing
156,156,14-Apr-2017,USA,Surfing,Hemisphere-N,apr,surfing
157,157,13-Apr-2017,USA,Surfing,Hemisphere-N,apr,surfing
158,158,12-Apr-2017,USA,Surfing,Hemisphere-N,apr,surfing
160,160,11-Apr-2017,USA,Surfing,Hemisphere-N,apr,surfing
162,162,10-Apr-2017,USA,Swimming,Hemisphere-N,apr,swimming
163,163,06-Apr-2017,USA,Swimming,Hemisphere-N,apr,swimming
164,164,05-Apr-2017,USA,Swimming,Hemisphere-N,apr,swimming
166,166,02-Apr-2017,USA,Swimming,Hemisphere-N,apr,swimming
167,167,27-Mar-2017,USA,Surfing,Hemisphere-N,mar,surfing
173,173,24-Feb-2017,AUSTRALIA,Surfing,Hemisphere-S,feb,surfing
175,175,17-Feb-2017,AUSTRALIA,Spearfishing,Hemisphere-S,feb,spearfishing
176,176,11-Feb-2017,USA,Swimming,Hemisphere-N,feb,swimming
178,178,06-Feb-2017,SOUTH AFRICA,Kayak fishing,Hemisphere-S,feb,fishing
184,184,13-Jan-2017,AUSTRALIA,Swimming,Hemisphere-S,jan,swimming
190,190,27-Dec-2016,USA,Surfing,Hemisphere-N,dec,surfing
195,195,11-Dec-2016,USA,Surfing,Hemisphere-N,dec,surfing
196,196,06-Dec-2016,AUSTRALIA,Surf fishing,Hemisphere-S,dec,fishing
197,197,01-Dec-2016,AUSTRALIA,Surfing,Hemisphere-S,dec,surfing
198,198,28-Nov-2016,AUSTRALIA,Fishing,Hemisphere-S,nov,fishing
200,200,30-Oct-2016,USA,Surfing,Hemisphere-N,oct,surfing
201,201,29-Oct-2016,USA,Surfing,Hemisphere-N,oct,surfing
202,202,24-Oct-2016,AUSTRALIA,Surfing,Hemisphere-S,oct,surfing
203,203,21-Oct-2016,USA,Surfing,Hemisphere-N,oct,surfing
204,204,15-Oct-2016,AUSTRALIA,Surfing,Hemisphere-S,oct,surfing
207,207,12-Oct-2016,AUSTRALIA,Surfing,Hemisphere-S,oct,surfing
208,208,10-Oct-2016,USA,Surfing,Hemisphere-N,oct,surfing
209,209,02-Oct-2016,USA,Surfing,Hemisphere-N,oct,surfing
211,211,26-Sep-2016,AUSTRALIA,Surfing,Hemisphere-S,sep,surfing
212,212,18-Sep-2016,USA,Surfing,Hemisphere-N,sep,surfing
213,213,18-Sep-2016,USA,Surfing,Hemisphere-N,sep,surfing
214,214,18-Sep-2016,USA,Surfing,Hemisphere-N,sep,surfing
215,215,17-Sep-2016,USA,Surfing,Hemisphere-N,sep,surfing
216,216,17-Sep-2016,AUSTRALIA,Surfing,Hemisphere-S,sep,surfing
217,217,16-Sep-2016,AUSTRALIA,Surfing,Hemisphere-S,sep,surfing
218,218,15-Sep-2016,AUSTRALIA,Fishing,Hemisphere-S,sep,fishing
220,220,07-Sep-2016,USA,Swimming,Hemisphere-N,sep,swimming
223,223,05-Sep-2016,AUSTRALIA,Surfing,Hemisphere-S,sep,surfing
225,225,01-Sep-2016,USA,Spearfishing,Hemisphere-N,sep,spearfishing
227,227,29-Aug-2016,USA,Surfing,Hemisphere-N,aug,surfing
228,228,29-Aug-2016,USA,Surfing,Hemisphere-N,aug,surfing
233,233,04-Aug-2016,USA,Surfing,Hemisphere-N,aug,surfing
238,238,26-Jul-2016,AUSTRALIA,Surfing,Hemisphere-S,jul,surfing
240,240,23-Jul-2016,AUSTRALIA,Surfing,Hemisphere-S,jul,surfing
242,242,20-Jul-2016,AUSTRALIA,Fishing,Hemisphere-S,jul,fishing
243,243,17-Jul-2016,USA,Fishing in Alabama Deep Fishing Rodeo,Hemisphere-N,jul,fishing
244,244,16-Jul-2016,USA,Surfing,Hemisphere-N,jul,surfing
246,246,15-Jul-2016,USA,Kite surfing,Hemisphere-N,jul,surfing
247,247,15-Jul-2016,USA,Swimming,Hemisphere-N,jul,swimming
250,250,08-Jul-2016,USA,Fishing for squid,Hemisphere-N,jul,fishing
251,251,07-Jul-2016,USA,Fishing,Hemisphere-N,jul,fishing
252,252,07-Jul-2016,USA,Fishing for sharks,Hemisphere-N,jul,fishing
253,253,06-Jul-2016,USA,Swimming,Hemisphere-N,jul,swimming
254,254,04-Jul-2016,AUSTRALIA,Fishing,Hemisphere-S,jul,fishing
