,Date,Country,Activity
0,25-Jun-2018,USA,Paddling
1,18-Jun-2018,USA,Standing
2,09-Jun-2018,USA,Surfing
3,08-Jun-2018,AUSTRALIA,Surfing
4,04-Jun-2018,MEXICO,Free diving
5,03-Jun-2018,AUSTRALIA,Kite surfing
6,03-Jun-2018,BRAZIL,Swimming
7,27-May-2018,USA,Fishing
8,26-May-2018,USA,Walking
9,26-May-2018,USA,Standing
10,24-May-2018,AUSTRALIA,Feeding sharks
11,21-May-2018,USA,Boogie boarding
12,13-May-2018,USA,Swimming
13,13-May-2018,ENGLAND,Fishing
14,May 2018,AUSTRALIA,Feeding sharks
15,12-May-2018,SOUTH AFRICA,Surfing
16,09-May-2018,AUSTRALIA,Surfing
17,Reported 30-Apr-2018,THAILAND,Swimming
18,28-Apr-2018,COSTA RICA,Scuba diving
19,28-Apr-2018,AUSTRALIA,Surfing
20,25-Apr-2018,AUSTRALIA,Surfing
21,25-Apr-2018,AUSTRALIA,Surfing
22,24-Apr-2018,AUSTRALIA,Surfing
23,23-Apr-2018,MALDIVES,Fishing
24,22-Apr-2018,SOUTH AFRICA,Paddle-skiing
25,19-Apr-2018,USA,Body boarding
26,15-Apr-2018,THAILAND,Swimming
27,15-Apr-2018,BRAZIL,Swimming
28,15-Apr-2018,AUSTRALIA,Surfing
29,15-Apr-2018,AUSTRALIA,Surfing
30,14-Apr-2018,BAHAMAS,Surfing
31,Reported 10-Apr-2018,BRAZIL,Fishing
32,09-Apr-2018,NEW CALEDONIA,Windsurfing
33,05-Apr-2018,BAHAMAS,Swimming
34,03-Apr-2018,SOUTH AFRICA,Surfing
35,31-Mar-2018,USA,Stand-Up Paddleboarding
36,14-Mar-2018,AUSTRALIA,Wading
37,9-Mar-2018,AUSTRALIA,Swimming
38,9-Mar-2018,AUSTRALIA,Surfing
39,24-Feb-2018,SOUTH AFRICA,Scuba Diving
40,23-Feb-2018,AUSTRALIA,Swimming
41,18-Feb-2018,AUSTRALIA,Kayak fishing for sharks
42,15-Feb-2018,AUSTRALIA,Walking
43,14-Feb-2018,AUSTRALIA,Swimming
44,11-Feb-2018,BRAZIL,Cleaning fish
45,03-Feb-2018,ECUADOR,Snorkeling
46,01-Feb-2018,AUSTRALIA,Spearfishing
47,28-Jan-2018,AUSTRALIA,
48,21-Jan-2018,NEW CALEDONIA,Spearfishing
49,14-Jan-2018,AUSTRALIA,Diving
50,13-Jan-2018,AUSTRALIA,Free diving
51,12-Jan-2018,BRAZIL,Surfing
52,05-Jan-2018,AUSTRALIA,Surfing
53,31-Dec-2017,USA,Surfing
54,30-Dec-2017,USA,Surfing
55,21-Dec-2017,MALAYSIA,Fishing / Wading
56,09-Dec-2017,BAHAMAS,Snorkeling
57,30-Nov-2017,COSTA RICA,Scuba Diving
58,30-Nov-2017,COSTA RICA,Scuba diving
59,Reported 25-Nov-2017,LIBYA,2 boats capsized
60,24-Nov-2017,USA,Spearfishing
61,18-Nov-2017,USA,Surfing
62,Reported 13-Nov-2017,,Surfing
63,13-Nov-2017,AUSTRALIA,Surfing
64,04-Nov-2017,CUBA,Night bathing
65,Reported 31-Oct-2017,AUSTRALIA,Snorkeling
66,28-Oct-2017,AUSTRALIA,Surfing
67,26-Oct-2017,USA,Stand-Up Paddleboarding
68,23-Oct-2017,MAURITIUS,Swimming
69,23-Oct-2017,USA,Surfing 
70,23-Oct-2017,USA,Swimming
71,22-Oct-2017,AUSTRALIA,Kayaking / Fishing
72,21-Oct-2017,NEW ZEALAND,Kayaking
73,18-Oct-2017,USA,Swimming
74,09-Oct-2017,USA,Surfing
75,05-Oct-2017,USA,Snorkeling
76,01-Oct-2017,SOUTH AFRICA,Scuba Diving
77,25-Sep-2017,USA,Surfing
78,25-Sep-2017,AUSTRALIA,Surfing
79,24-Sep-2017,USA,Surfing
80,24-Sep-2017,USA,Surfing
81,20-Sep-2017,USA,Surfing
82,16-Sep-2017,SPAIN,Body surfing
83,16-Sep-2017,USA,Surfing
84,15-Sep-2017,SOUTH AFRICA,Scuba Diving
85,15-Sep-2017,SAMOA,Fishing
86,Sep-2017,AUSTRALIA,Fishing
87,13-Sep-2017,USA,Surfing
88,10-Sep-2017,AUSTRALIA,Swimming
89,10-Sep-2017,AUSTRALIA,Surfing
90,Reported 06-Sep-2017,SOLOMON ISLANDS,Spearfishing
91,03-Sep-2017,SOUTH AFRICA,"Swimming, poaching abalone"
92,03-Sep-2017,JAPAN,Surfing
93,02-Sep-2017,USA,Swimming
94,02-Sep-2017,USA,Swimming
95,02-Sep-2017,USA,Surfing
96,29-Aug-2017,AUSTRALIA,Surfing
97,27-Aug-2017,USA,Wading
98,26-Aug-2017,SPAIN,Swimming
99,26-Aug-2017,NEW ZEALAND,Canoeing
100,23-Aug-2017,USA,SUP
101,18-Aug-2017,BAHAMAS,Spearfishing
102,10-Aug-2017,USA,Swimming
103,05-Aug-2017,EGYPT,Snorkeling
104,03-Aug-2017,USA,Fishing
105,01-Aug-2017,USA,Kayaking / Fishing
106,31-Jul-2017,USA,Skimboarding
107,29-Jul-2017,USA,Swimming
108,29-Jul-2017,USA,
109,27-Jul-2017,BAHAMAS,Snorkeling
110,Reported 26-Jul-2017,BAHAMAS,Spearfishing
111,24-Jul-2017,"ST HELENA, British overseas territory",Surfing
112,23-Jul-2017,USA,
113,23-Jul-2017,SPAIN,Swimming
114,22-Jul-2017,USA,
115,20-Jul-2017,USA,Swimming
116,20-Jul-2017,USA,Kayaking
117,20-Jul-2017,USA,SUP
118,14-Jul-2017,USA,Surfing
119,14-Jul-2017,AUSTRALIA,Surfing
120,11-Jul-2017,USA,Kayaking
121,09-Jul-2017,USA,Swimming
122,Reported 07-Jul-2017,MEXICO,Fishing
123,07-Jul-2017,SOUTH AFRICA,Surfing
124,02-Jul-2017,COMOROS,Fishing
125,29-Jun-2017,USA,Fishing
126,21-Jun-2017,USA,Swimming
127,19-Jun-2017,USA,Surfing
128,18-Jun-2017,USA,Swimming
129,18-Jun-2017,REUNION,Body boarding
130,17-Jun-2017,SPAIN,Swimming
131,2017.06.05,FRENCH POLYNESIA,Surfing
132,Reported 14-Jun-2017,BAHAMAS,Feeding sharks
133,11-Jun-2017,AUSTRALIA,Body boarding
134,10-Jun-2017,AUSTRALIA,Surfing
135,10-Jun-2017,USA,Surfing
136,Reported 07-Jun-2017,UNITED KINGDOM,Surfing 
137,04-Jun-2017,USA,Spearfishing
138,02-Jun-2017,BAHAMAS,Snorkeling
139,30-May-2017,USA,Touching a shark
140,28-May-2017,USA,Feeding sharks
141,27-May-2017,AUSTRALIA,Fishing 
142,12-May-2017,UNITED ARAB EMIRATES,Spearfishing
143,Reported 06-May-2017,AUSTRALIA,Attempting to lasso a shark
144,05-May-2017,MEXICO,Snorkeling
145,03-May-2017,USA,Surfing
146,29-Apr-2017,USA,Swimming
147,29-Apr-2017,SOUTH AFRICA,Surfing
148,29-Apr-2017,USA,Surfing
149,29-Apr-2017,REUNION,Body boarding
150,27-Apr-2017,NEW ZEALAND,Body boarding
151,26-Apr-2017,USA,Photo shoot
152,22-Apr-2017,"ST HELENA, British overseas territory",Snorkeling
153,20-Apr-2017,USA,Swimming
154,17-Apr-2017,USA,
155,17-Apr-2017,AUSTRALIA,Surfing
156,14-Apr-2017,USA,Surfing
157,13-Apr-2017,USA,Surfing
158,12-Apr-2017,USA,Surfing
159,12-Apr-2017,SOUTH AFRICA,Scuba Diving
160,11-Apr-2017,USA,Surfing
161,10-Apr-2017,USA,Paddle boarding
162,10-Apr-2017,USA,Swimming
163,06-Apr-2017,USA,Swimming
